able unable
fastidious unfastidious
unfastidious fastidious
fastidious unfastidious
unfastidious fastidious
fat thin
thin fat
fatty nonfat
nonfat fatty
fatal nonfatal
nonfatal fatal
curable incurable
incurable curable
fathomable unfathomable
unfathomable fathomable
favorable unfavorable
unfavorable favorable
favorable unfavorable
unfavorable favorable
feathered unfeathered
unfeathered feathered
felicitous infelicitous
infelicitous felicitous
fertile sterile
sterile fertile
finished unfinished
unfinished finished
finished unfinished
unfinished finished
finite infinite
infinite finite
finite infinite
infinite finite
opening closing
closing opening
first last
last first
intermediate terminal
terminal intermediate
first second
second first
fissile nonfissile
nonfissile fissile
fissionable nonfissionable
nonfissionable fissionable
fit unfit
unfit fit
fit unfit
unfit fit
flat contrasty
contrasty flat
flexible inflexible
inflexible flexible
flexible inflexible
inflexible flexible
uncompromising compromising
compromising uncompromising
rigid nonrigid
nonrigid rigid
adaptable unadaptable
unadaptable adaptable
campylotropous orthotropous
orthotropous campylotropous
anatropous amphitropous
amphitropous anatropous
curly straight
straight curly
footed footless
footless footed
toed toeless
toeless toed
pigeon-toed splayfooted
splayfooted pigeon-toed
fore aft
aft fore
forehand backhand
backhand forehand
native adopted
adopted native
foreign native
native foreign
native nonnative
nonnative native
foreign domestic
domestic foreign
domestic undomestic
undomestic domestic
forgettable unforgettable
unforgettable forgettable
forgiving unforgiving
unforgiving forgiving
formal informal
informal formal
formal informal
informal formal
former latter
latter former
fortunate unfortunate
unfortunate fortunate
fragrant malodorous
malodorous fragrant
odorous odorless
odorless odorous
scented scentless
scentless scented
free bound
bound free
fixed unfixed
unfixed fixed
free unfree
unfree free
free unfree
unfree free
frequent infrequent
infrequent frequent
fresh stale
stale fresh
fresh preserved
preserved fresh
fresh salty
salty fresh
friendly unfriendly
unfriendly friendly
friendly hostile
hostile friendly
friendly unfriendly
unfriendly friendly
frozen unfrozen
unfrozen frozen
fruitful unfruitful
unfruitful fruitful
full empty
empty full
drained undrained
undrained drained
full-time part-time
part-time full-time
functional nonfunctional
nonfunctional functional
functioning malfunctioning
malfunctioning functioning
functional organic
organic functional
rigged unrigged
unrigged rigged
equipped unequipped
unequipped equipped
fledged unfledged
unfledged fledged
framed unframed
unframed framed
furnished unfurnished
unfurnished furnished
funded unfunded
unfunded funded
fueled unfueled
unfueled fueled
specified unspecified
unspecified specified
geared ungeared
ungeared geared
general specific
specific general
specific nonspecific
specific nonspecific
nonspecific specific
nonspecific specific
national local
local national
cosmopolitan endemic
endemic cosmopolitan
branchiate abranchiate
abranchiate branchiate
federal unitary
unitary federal
centralized decentralized
decentralized centralized
technical nontechnical
nontechnical technical
nonproprietary proprietary
proprietary nonproprietary
generous stingy
stingy generous
generous ungenerous
ungenerous generous
genuine counterfeit
counterfeit genuine
geocentric heliocentric
heliocentric geocentric
talented untalented
untalented talented
